local_name,geo_lat,geo_lng,country,province,gmt,full_text
feyzabad,37.12976076,70.57924719,Afghanistan,Badakhshan,4.5,feyzabad - Badakhshan - Afghanistan
qal eh-ye now,34.98300013,63.13329964,Afghanistan,Badghis,4.5,qal eh-ye now - Badghis - Afghanistan
pol-e khomri,35.95107302,68.70111894,Afghanistan,Baghlan,4.5,pol-e khomri - Baghlan - Afghanistan
baghlan,36.13933026,68.69925858,Afghanistan,Baghlan,4.5,baghlan - Baghlan - Afghanistan
balkh,36.75011985,66.89973018,Afghanistan,Balkh,4.5,balkh - Balkh - Afghanistan
mazar-e sharif,36.69999371,67.10002803,Afghanistan,Balkh,4.5,mazar-e sharif - Balkh - Afghanistan
bamian,34.82106447,67.52103593,Afghanistan,Bamyan,4.5,bamian - Bamyan - Afghanistan
farah,32.39172955,62.09681921,Afghanistan,Farah,4.5,farah - Farah - Afghanistan
meymaneh,35.93022158,64.77009273,Afghanistan,Faryab,4.5,meymaneh - Faryab - Afghanistan
andkhvoy,36.93165916,65.10149369,Afghanistan,Faryab,4.5,andkhvoy - Faryab - Afghanistan
ghazni,33.56331179,68.41782873,Afghanistan,Ghazni,4.5,ghazni - Ghazni - Afghanistan
chaghcharan,34.5167011,65.25000063,Afghanistan,Ghor,4.5,chaghcharan - Ghor - Afghanistan
lashkar gah,31.58299802,64.35999955,Afghanistan,Hilmand,4.5,lashkar gah - Hilmand - Afghanistan
karokh,34.48676963,62.59177608,Afghanistan,Hirat,4.5,karokh - Hirat - Afghanistan
herat,34.33000917,62.16999304,Afghanistan,Hirat,4.5,herat - Hirat - Afghanistan
sheberghan,36.65798077,65.73830237,Afghanistan,Jawzjan,4.5,sheberghan - Jawzjan - Afghanistan
kabul,34.51669029,69.18326005,Afghanistan,Kabul,4.5,kabul - Kabul - Afghanistan
kandahar,31.61002016,65.69494584,Afghanistan,Kandahar,4.5,kandahar - Kandahar - Afghanistan
mahmud-e eraqi,35.01669608,69.33330065,Afghanistan,Kapisa,4.5,mahmud-e eraqi - Kapisa - Afghanistan
asadabad,34.86600004,71.15000459,Afghanistan,Kunar,4.5,asadabad - Kunar - Afghanistan
kondoz,36.72795066,68.87252966,Afghanistan,Kunduz,4.5,kondoz - Kunduz - Afghanistan
mehtar lam,34.65000001,70.16670052,Afghanistan,Laghman,4.5,mehtar lam - Laghman - Afghanistan
baraki barak,33.9667021,68.96670354,Afghanistan,Logar,4.5,baraki barak - Logar - Afghanistan
